datetime,gvkey,username,id,tweet,date,time,hashtags,mentions,replies,retweets,likes,link,RT,countHA,countAT,fin,crm,sm,jobs,fin_s,crm_s,sm_s,jobs_s,nb_pos,cgvkey
2016-02-26 10:17:13,163610,ICE_Markets,703237389393776641,Trading starts Monday for our new U.S. nat gas & environmental contracts pic.twitter.com/RrwOdymYNp,2016-02-26,10:17:13,,,0,3,1,https://twitter.com/ICE_Markets/status/703237389393776641,0,0,0,1,0,0,0,0.5915304564542693,0.0,0.0,0.0,0.5915304564542693,163610
2016-02-26 08:44:38,163610,ICE_Markets,703214089355599872,ICE's Lynn Martin talks about the future of data in equities and commodities markets:  https://www.theice.com/article/the-future-of-data … pic.twitter.com/XRcGpd87AK,2016-02-26,08:44:38,,,1,3,2,https://twitter.com/ICE_Markets/status/703214089355599872,0,0,0,1,0,0,0,0.9264566345441253,0.0,0.0,0.0,0.9264566345441253,163610
2016-02-25 09:05:10,163610,ICE_Markets,702856869677817856,We completed the transition of ICE Endex to the ICE platform pic.twitter.com/xIoQaAnweS,2016-02-25,09:05:10,,,0,3,2,https://twitter.com/ICE_Markets/status/702856869677817856,0,0,0,0,0,0,1,0.0,0.0,0.0,0.6737100970913882,0.6737100970913882,163610
2016-02-25 08:23:56,163610,ICE_Markets,702846490151096320,"Congrats to ICE's Lynn Martin for making Market Voice's ""9 People to Watch in 2016"" list!  http://goo.gl/1WdD4S  pic.twitter.com/9xc9fY3vFg",2016-02-25,08:23:56,,,0,3,1,https://twitter.com/ICE_Markets/status/702846490151096320,0,0,0,0,0,0,1,0.0,0.0,0.0,0.9760020716955834,0.9760020716955834,163610
2016-02-23 12:51:00,163610,ICE_Markets,702188923502649345,Natural gas is playing an increasingly important role as a clean & affordable energy supply  https://www.theice.com/factsheet/changing-european-nat-gas-dynamics … pic.twitter.com/jaVKqlBEuu,2016-02-23,12:51:00,,,0,13,3,https://twitter.com/ICE_Markets/status/702188923502649345,0,0,0,1,0,0,0,0.41742181974500026,0.0,0.0,0.0,0.41742181974500026,163610
2016-02-21 21:05:21,163610,ICE_Markets,701588556754640896,A technical analysis of the global currency markets for the week of Feb 22nd:  https://www.theice.com/market-commentary … pic.twitter.com/YLZuSFjaTx,2016-02-21,21:05:21,,,0,0,0,https://twitter.com/ICE_Markets/status/701588556754640896,0,0,0,0,0,0,1,0.0,0.0,0.0,0.7236670785156195,0.7236670785156195,163610
2016-02-17 07:50:27,163610,ICE_Markets,699938960718635008,2016 YTD client cleared transactions for single name CDS instruments has already exceeded the 2015 total pic.twitter.com/BSpR22UcSC,2016-02-17,07:50:27,,,0,2,2,https://twitter.com/ICE_Markets/status/699938960718635008,0,0,0,1,0,0,0,0.4492399564175765,0.0,0.0,0.0,0.4492399564175765,163610
2016-02-16 10:24:39,163610,ICE_Markets,699615381686648833,The world’s most important international coal hubs. Read more:  https://www.theice.com/factsheet/coal-derivatives-at-ice … https://amp.twimg.com/v/f6109a0b-baa7-479e-abbb-9f856fabb3a2 …,2016-02-16,10:24:39,,,0,2,1,https://twitter.com/ICE_Markets/status/699615381686648833,0,0,0,0,0,0,1,0.0,0.0,0.0,0.8068220282084471,0.8068220282084471,163610
2016-02-15 12:19:17,163610,ICE_Markets,699281839362568193,See our February 15th Holiday Hours:  https://www.theice.com/holiday-hours?=hp_banner?=Twitter … pic.twitter.com/dMFZLFurRr,2016-02-15,12:19:17,,,0,1,0,https://twitter.com/ICE_Markets/status/699281839362568193,0,0,0,0,0,1,0,0.0,0.0,0.3317188335827229,0.0,0.3317188335827229,163610
2016-02-14 21:05:21,163610,ICE_Markets,699051843062726656,A technical analysis of the global currency markets for the week of Feb 15th:  https://www.theice.com/market-commentary … pic.twitter.com/p34THYVWmM,2016-02-14,21:05:21,,,0,0,2,https://twitter.com/ICE_Markets/status/699051843062726656,0,0,0,0,0,0,1,0.0,0.0,0.0,0.7763609194340635,0.7763609194340635,163610
